BARS,
1,1.0
2,1.99255785435E11
4,1.99255132364E11
6,3.71155572216E11
8,1.72530627022E11
10,2.25901436911E11
12,3.08974997833E11
14,1.76456991023E11
16,1.38143602519E11
18,2.61179643714E11
20,1.54808263169E11
22,1.31274839022E11
24,2.12858472298E11
26,1.06975235729E11
28,1.17083463264E11
30,2.29172585486E11
32,7.7463296635E10
34,8.1947336635E10
36,1.41632669231E11
38,6.998160495E10
40,8.4943319476E10
42,1.36066049516E11
44,5.8460341631E10
46,5.2396576704E10
48,9.4262954355E10
50,5.7065391994E10
52,4.4624513441E10
54,7.718271601E10
56,4.2466742896E10
58,3.6696399471E10
60,8.2635492917E10
62,2.823476497E10
64,2.8237105006E10
66,5.5981201831E10
68,2.4437245593E10
70,3.5618709645E10
72,3.9390302914E10
74,1.975364688E10
76,1.8620968046E10
78,3.6702937623E10
80,2.0197191509E10
82,1.4830298911E10
84,3.2212225933E10
86,1.2437382755E10
88,1.310614912E10
90,2.8374670506E10
92,1.0170703003E10
94,9.531836551E9
96,1.7513825268E10
98,9.697146225E9
100,1.0366361746E10
102,1.4874146759E10
104,7.128937064E9
106,6.386037729E9
108,1.1696607299E10
110,7.658206351E9
112,6.088449555E9
114,9.812358742E9
116,4.433500859E9
118,4.356670903E9
120,1.0056672952E10
122,3.44082663E9
124,3.515120128E9
126,7.241309307E9
128,2.74792712E9
130,3.844575916E9
132,5.270911306E9
134,2.297656904E9
136,2.215092327E9
138,4.211891669E9
140,2.843403105E9
142,1.735490162E9
144,3.163201789E9
146,1.447219042E9
148,1.532242058E9
150,3.455253715E9
152,1.204208271E9
154,1.502261479E9
156,2.225650879E9
158,9.72470148E8
160,1.198266256E9
162,1.65071106E9
164,8.19350585E8
166,7.43823552E8
168,1.658204708E9
170,8.66059377E8
172,5.92616828E8
174,1.130996758E9
176,5.53987736E8
178,5.05881233E8
180,1.177538254E9
182,5.00408726E8
184,4.11902634E8
186,7.27452437E8
188,3.21988255E8
190,4.5414425E8
192,5.64226379E8
194,2.68054735E8
196,3.00196565E8
198,5.20322449E8
200,2.8042219E8
202,2.08698085E8
204,4.03242181E8
206,1.74051886E8
208,1.88625429E8
210,4.72750622E8
212,1.30083564E8
214,1.28259731E8
216,2.36180923E8
218,1.10871997E8
220,1.56300581E8
222,1.96164003E8
224,1.10212683E8
226,8.3789694E7
228,1.67043361E8
230,9.8202438E7
232,7.1794541E7
234,1.36766514E8
236,5.8502336E7
238,7.1511234E7
240,1.33061742E8
242,5.0042906E7
244,4.4568533E7
246,8.3839893E7
248,3.9333421E7
250,4.8434549E7
252,7.7480669E7
254,3.0632173E7
256,2.810716E7
258,5.5197593E7
260,3.5586689E7
262,2.3478999E7
264,4.7751356E7
266,2.4467978E7
268,1.9616875E7
270,4.5295866E7
272,1.5431662E7
274,1.5722706E7
276,2.9068725E7
278,1.2554575E7
280,1.999087E7
282,2.2228081E7
284,1.0560319E7
286,1.172062E7
288,1.8258199E7
290,1.1453811E7
292,8124733.0
294,1.7366578E7
296,6752865.0
298,6460538.0
300,1.5428532E7
302,5215523.0
304,5324693.0
306,1.008259E7
308,5653344.0
310,5770881.0
312,8002674.0
314,3414445.0
316,3368436.0
318,6305150.0
320,3636998.0
322,3393090.0
324,4909723.0
326,2316971.0
328,2304169.0
330,5859883.0
332,1778252.0
334,1724378.0
336,3730148.0
338,1551519.0
340,1931086.0
342,2581500.0
344,1206432.0
346,1077788.0
348,2164974.0
350,1473573.0
352,993682.0
354,1663489.0
356,744165.0
358,762088.0
360,1766405.0
362,589277.0
364,740081.0
366,1071685.0
368,520073.0
370,635494.0
372,876351.0
374,477437.0
376,384664.0
378,832580.0
380,430491.0
382,297348.0
384,550910.0
386,255330.0
388,257468.0
390,648509.0
392,231553.0
394,197146.0
396,393093.0
398,158287.0
400,213699.0
402,286783.0
404,132899.0
406,153267.0
408,249601.0
410,144209.0
412,104778.0
414,196834.0
416,93605.0
418,100144.0
420,232306.0
422,63908.0
424,63432.0
426,118134.0
428,54072.0
430,71157.0
432,94591.0
434,55563.0
436,41961.0
438,79640.0
440,51170.0
442,40245.0
444,63431.0
446,28090.0
448,33494.0
450,66608.0
452,22705.0
454,22467.0
456,43055.0
458,19026.0
460,25016.0
462,42048.0
464,15321.0
466,13278.0
468,28215.0
470,16020.0
472,11012.0
474,21033.0
476,12022.0
478,9464.0
480,22063.0
482,7305.0
484,8156.0
486,13386.0
488,6429.0
490,9511.0
492,10901.0
494,6008.0
496,4784.0
498,9172.0
500,5356.0
502,3898.0
504,8594.0
506,3600.0
508,3188.0
510,7815.0
512,2405.0
514,2390.0
516,4456.0
518,2541.0
520,2986.0
522,3772.0
524,1667.0
526,1606.0
528,3340.0
530,1866.0
532,1570.0
534,2271.0
536,1096.0
538,1157.0
540,2514.0
542,905.0
544,906.0
546,1945.0
548,699.0
550,912.0
552,1253.0
554,543.0
556,487.0
558,1035.0
560,729.0
562,430.0
564,799.0
566,345.0
568,366.0
570,888.0
572,343.0
574,353.0
576,482.0
578,254.0
580,319.0
582,409.0
584,179.0
586,177.0
588,364.0
590,177.0
592,154.0
594,314.0
596,110.0
598,136.0
600,277.0
602,123.0
604,108.0
606,179.0
608,84.0
610,107.0
612,136.0
614,61.0
616,76.0
618,113.0
620,67.0
622,41.0
624,111.0
626,41.0
628,36.0
630,131.0
632,30.0
634,29.0
636,58.0
638,36.0
640,35.0
642,39.0
644,29.0
646,18.0
648,46.0
650,31.0
652,15.0
654,28.0
656,11.0
658,23.0
660,24.0
662,8.0
664,11.0
666,25.0
668,9.0
670,13.0
672,17.0
674,11.0
676,6.0
678,14.0
680,9.0
682,7.0
684,10.0
686,4.0
688,2.0
690,8.0
692,3.0
694,3.0
696,8.0
698,4.0
700,3.0
702,8.0
704,2.0
706,5.0
708,1.0
710,2.0
712,3.0
714,3.0
716,2.0
718,2.0
720,3.0
724,1.0
728,1.0
730,3.0
732,1.0
738,1.0
740,1.0
744,1.0
750,1.0
756,2.0
758,1.0
760,1.0
762,2.0
766,1.0
778,1.0
788,1.0
804,1.0
