bucket bits,small size,segment start,sieve nanos
1,16,33,25677511156
1,16,36,35039487144
1,16,39,49684102145
1,16,42,68519927503
1,16,45,92520687934
1,16,48,121109025461
1,16,51,154272876953
1,16,54,190747579080
1,16,57,229214416028
1,16,60,270923664604
1,16,63,316896042097
1,17,33,19395951610
1,17,36,26236147697
1,17,39,37724066240
1,17,42,52801316985
1,17,45,72553805063
1,17,48,96308865606
1,17,51,124649686390
1,17,54,157381317070
1,17,57,192540709128
1,17,60,230870942951
1,17,63,273378355594
1,18,33,18793407179
1,18,36,20936643341
1,18,39,30009631882
1,18,42,42082314730
1,18,45,58398641683
1,18,48,78003624343
1,18,51,101550218502
1,18,54,129425644351
1,18,57,160886014558
1,18,60,195925610938
1,18,63,235135869938
1,19,33,23063291219
1,19,36,24591991345
1,19,39,28937067207
1,19,42,38600831572
1,19,45,52097471479
1,19,48,68575707216
1,19,51,88264352964
1,19,54,111638458498
1,19,57,138650667033
1,19,60,170043424520
1,19,63,205895355271
1,20,33,24649616059
1,20,36,26081035448
1,20,39,28359206713
1,20,42,34640522864
1,20,45,45924854480
1,20,48,59688447674
1,20,51,76310711163
1,20,54,96163162580
1,20,57,119160316060
1,20,60,146476743731
1,20,63,179063280050
1,21,33,26127496869
1,21,36,27763756901
1,21,39,29395949585
1,21,42,31823624080
1,21,45,40960939587
1,21,48,52331526867
1,21,51,66457637320
1,21,54,83557196906
1,21,57,103498518354
1,21,60,127499742042
1,21,63,156775853762
1,22,33,29254842464
1,22,36,30567708645
1,22,39,32196255406
1,22,42,33328088717
1,22,45,36749191219
1,22,48,46156235022
1,22,51,58576719429
1,22,54,73814653665
1,22,57,91795071146
1,22,60,113371382422
1,22,63,140298664661
1,23,33,29685748445
1,23,36,31078103925
1,23,39,32871638916
1,23,42,34720099880
1,23,45,36511479216
1,23,48,43526445716
1,23,51,55313962902
1,23,54,70026599684
1,23,57,87172419480
1,23,60,108297498312
1,23,63,134218915832
1,24,33,43168663070
1,24,36,44427068206
1,24,39,49891924735
1,24,42,53602137048
1,24,45,59539577974
1,24,48,67725185586
1,24,51,83580247251
1,24,54,93978717478
1,24,57,117186923565
1,24,60,139338985918
1,24,63,166964757462
2,16,33,25152824879
2,16,36,33378046052
2,16,39,45247254349
2,16,42,59737898584
2,16,45,77600760897
2,16,48,98291945788
2,16,51,120796125542
2,16,54,145391937833
2,16,57,171265967485
2,16,60,198764434643
2,16,63,229719239650
2,17,33,19479315073
2,17,36,25969107246
2,17,39,36328372625
2,17,42,49481615156
2,17,45,65740229959
2,17,48,84625166933
2,17,51,106595513512
2,17,54,130888303188
2,17,57,156585113726
2,17,60,185102914909
2,17,63,213469791588
2,18,33,18721058385
2,18,36,20868745039
2,18,39,29353786957
2,18,42,39820474865
2,18,45,53087257120
2,18,48,68268085841
2,18,51,85970500089
2,18,54,105945787802
2,18,57,127810334823
2,18,60,150834921053
2,18,63,177697715405
2,19,33,22955290753
2,19,36,24514192828
2,19,39,28896719969
2,19,42,38238622175
2,19,45,50094960891
2,19,48,63995591479
2,19,51,80142242391
2,19,54,98705924548
2,19,57,119384202490
2,19,60,142883411085
2,19,63,168132186298
2,20,33,24509377347
2,20,36,26096676678
2,20,39,28272508889
2,20,42,34445642499
2,20,45,44553486447
2,20,48,56168536587
2,20,51,69503930353
2,20,54,84892627200
2,20,57,101915957821
2,20,60,121072672442
2,20,63,143860558320
2,21,33,27289653456
2,21,36,28012696587
2,21,39,29470225930
2,21,42,31776160223
2,21,45,40610933345
2,21,48,50879525951
2,21,51,63035593563
2,21,54,77332990883
2,21,57,93297658666
2,21,60,112252502715
2,21,63,133393416022
2,22,33,28946354356
2,22,36,30423759403
2,22,39,32004124479
2,22,42,33158419728
2,22,45,36689087209
2,22,48,45356954682
2,22,51,55964272835
2,22,54,71535596532
2,22,57,82543896051
2,22,60,98571121446
2,22,63,118428261935
2,23,33,29598113352
2,23,36,31010966829
2,23,39,33074377129
2,23,42,35161954324
2,23,45,36430355354
2,23,48,42983093450
2,23,51,53868831716
2,23,54,66839648951
2,23,57,81206655613
2,23,60,98019821516
2,23,63,117508066566
2,24,33,43712096280
2,24,36,45723731560
2,24,39,49928493142
2,24,42,51279531287
2,24,45,55160696413
2,24,48,64027749548
2,24,51,81164291149
2,24,54,94281982090
2,24,57,111846407986
2,24,60,126137906437
2,24,63,151556868094
3,16,33,24286799950
3,16,36,31371621281
3,16,39,41280906531
3,16,42,53071573697
3,16,45,67136645101
3,16,48,82731481430
3,16,51,99873817898
3,16,54,118397413394
3,16,57,137008333815
3,16,60,156807216410
3,16,63,178255425573
3,17,33,19477501087
3,17,36,24960063424
3,17,39,33602414737
3,17,42,44001364419
3,17,45,56381091063
3,17,48,70138359285
3,17,51,86083848515
3,17,54,109377070581
3,17,57,120279917791
3,17,60,138960648284
3,17,63,159569533042
3,18,33,18694522255
3,18,36,20867754622
3,18,39,28265253353
3,18,42,37369945578
3,18,45,48283730912
3,18,48,60550718286
3,18,51,74214003961
3,18,54,89611595026
3,18,57,105485015938
3,18,60,122791599197
3,18,63,141135664813
3,19,33,22942580061
3,19,36,24523486963
3,19,39,28543369796
3,19,42,36524626984
3,19,45,46249738671
3,19,48,57072617755
3,19,51,69258196593
3,19,54,88389284563
3,19,57,97713286519
3,19,60,113376858682
3,19,63,131155159121
3,20,33,24643452911
3,20,36,26037981575
3,20,39,28263618651
3,20,42,33912663613
3,20,45,42728941789
3,20,48,52448845557
3,20,51,63416143215
3,20,54,75567239175
3,20,57,88825231897
3,20,60,103324840054
3,20,63,120297639459
3,21,33,26263050632
3,21,36,27867323074
3,21,39,29633933757
3,21,42,31745560804
3,21,45,39520775515
3,21,48,48109115066
3,21,51,57773529164
3,21,54,68825781339
3,21,57,80557501417
3,21,60,93864699205
3,21,63,108501251730
3,22,33,29027942661
3,22,36,30379803047
3,22,39,31926581588
3,22,42,33189140257
3,22,45,36472241967
3,22,48,44003499535
3,22,51,53047390317
3,22,54,63212652948
3,22,57,74400537668
3,22,60,86935935290
3,22,63,101318208137
3,23,33,29529261790
3,23,36,31058934453
3,23,39,32959535359
3,23,42,34776513062
3,23,45,36316639643
3,23,48,42203990604
3,23,51,51248930190
3,23,54,61578758795
3,23,57,73183664772
3,23,60,85737622643
3,23,63,100383834356
3,24,33,43158764743
3,24,36,45118886279
3,24,39,49569833846
3,24,42,54512991701
3,24,45,59560260910
3,24,48,66796193708
3,24,51,79042232537
3,24,54,92714226579
3,24,57,106612649698
3,24,60,120038079358
3,24,63,137101232498
4,16,33,23848012239
4,16,36,29975795877
4,16,39,38908964193
4,16,42,49057221244
4,16,45,60729382836
4,16,48,74024750985
4,16,51,87680366060
4,16,54,102652343852
4,16,57,117755636737
4,16,60,132696316067
4,16,63,149472325081
4,17,33,19433835337
4,17,36,24549182475
4,17,39,32204868023
4,17,42,41478932204
4,17,45,52062945225
4,17,48,63757139440
4,17,51,76585653530
4,17,54,90046637916
4,17,57,104114825569
4,17,60,127644773965
4,17,63,134110959436
4,18,33,18705372453
4,18,36,20849770842
4,18,39,27620574449
4,18,42,35715861774
4,18,45,45548705880
4,18,48,55829696852
4,18,51,67506013583
4,18,54,79841141184
4,18,57,92504021428
4,18,60,106823456042
4,18,63,122360590200
4,19,33,22946558778
4,19,36,24490650170
4,19,39,28407336297
4,19,42,35482427407
4,19,45,44295476053
4,19,48,53852380110
4,19,51,64068546917
4,19,54,75658562590
4,19,57,87259938155
4,19,60,100601964891
4,19,63,114315339679
4,20,33,24509340677
4,20,36,25985772077
4,20,39,28281729471
4,20,42,33575012508
4,20,45,41475496013
4,20,48,50388451144
4,20,51,59770685717
4,20,54,70158787023
4,20,57,81234298723
4,20,60,92494358957
4,20,63,105920370115
4,21,33,26588398290
4,21,36,28010973465
4,21,39,29596897135
4,21,42,32382346457
4,21,45,38969718007
4,21,48,46721303736
4,21,51,55449622053
4,21,54,64722252389
4,21,57,74698095549
4,21,60,85661335079
4,21,63,98027994414
4,22,33,28998750121
4,22,36,30407707363
4,22,39,32008703971
4,22,42,33132495620
4,22,45,36270063676
4,22,48,43013443679
4,22,51,51371775630
4,22,54,59998877023
4,22,57,69277392607
4,22,60,80968923843
4,22,63,93064189516
4,23,33,29454491036
4,23,36,31044973803
4,23,39,32821580104
4,23,42,34982814156
4,23,45,36304359374
4,23,48,42099831483
4,23,51,50067777613
4,23,54,59054081668
4,23,57,69092042293
4,23,60,80519375615
4,23,63,90941066393
4,24,33,39206140250
4,24,36,49887168264
4,24,39,45010606587
4,24,42,56902702854
4,24,45,57569494626
4,24,48,63844354998
4,24,51,73655253788
4,24,54,84335211554
4,24,57,95582985171
4,24,60,111625378972
4,24,63,125117279654
5,16,33,23426700072
5,16,36,28808578659
5,16,39,36349058423
5,16,42,45643653569
5,16,45,55941998561
5,16,48,66655042171
5,16,51,79043554703
5,16,54,91591782726
5,16,57,103397094074
5,16,60,116209203422
5,16,63,130966574945
5,17,33,19452936229
5,17,36,24047850220
5,17,39,30697898174
5,17,42,38737827487
5,17,45,48481573113
5,17,48,58282806428
5,17,51,68925416706
5,17,54,81061916743
5,17,57,92306490164
5,17,60,104009161294
5,17,63,118179945579
5,18,33,18718240983
5,18,36,20822544053
5,18,39,26986134059
5,18,42,33952735331
5,18,45,42685254041
5,18,48,51887102332
5,18,51,61424857731
5,18,54,72225808113
5,18,57,83256875546
5,18,60,94400591377
5,18,63,105888274340
5,19,33,22961616068
5,19,36,24521600062
5,19,39,28300987299
5,19,42,34736382680
5,19,45,42202804073
5,19,48,50855419185
5,19,51,59817309452
5,19,54,69340031439
5,19,57,79714027114
5,19,60,90833034777
5,19,63,101705210768
5,20,33,24521177586
5,20,36,26035250923
5,20,39,28283965721
5,20,42,33341512144
5,20,45,40233571533
5,20,48,47972605316
5,20,51,57541627119
5,20,54,65459612777
5,20,57,74646188951
5,20,60,84931641731
5,20,63,96176737003
5,21,33,26043640887
5,21,36,28228505104
5,21,39,29666020937
5,21,42,31894268608
5,21,45,38445477601
5,21,48,45057425250
5,21,51,52798259335
5,21,54,61249017772
5,21,57,69677009066
5,21,60,78845554313
5,21,63,90038651495
5,22,33,29120904831
5,22,36,30459556344
5,22,39,32068779835
5,22,42,33141027782
5,22,45,36163181367
5,22,48,42237119054
5,22,51,49033186065
5,22,54,57132793496
5,22,57,65294002473
5,22,60,73827351652
5,22,63,84636464316
5,23,33,29472966502
5,23,36,31000803316
5,23,39,32829105854
5,23,42,34600474056
5,23,45,36424142693
5,23,48,41584653188
5,23,51,48508623548
5,23,54,56325561583
5,23,57,65069692032
5,23,60,74048552474
5,23,63,83377143983
5,24,33,39502836920
5,24,36,47662509665
5,24,39,48486515569
5,24,42,53933305697
5,24,45,57041877114
5,24,48,66910608745
5,24,51,72244130558
5,24,54,83273026691
5,24,57,96416398557
5,24,60,109803285536
5,24,63,122031044941
6,16,33,23088036824
6,16,36,28229072495
6,16,39,34954595763
6,16,42,43391187245
6,16,45,53459978814
6,16,48,63182807606
6,16,51,73221507847
6,16,54,84728190369
6,16,57,96165776251
6,16,60,107295457059
6,16,63,118590811446
6,17,33,19155182165
6,17,36,23781055469
6,17,39,30041999336
6,17,42,37128914369
6,17,45,46193483334
6,17,48,55643957520
6,17,51,64953062888
6,17,54,74975299304
6,17,57,85931830300
6,17,60,97354589578
6,17,63,108435949436
6,18,33,18657303838
6,18,36,20716260288
6,18,39,26816824611
6,18,42,33311549675
6,18,45,40954884556
6,18,48,49786116028
6,18,51,58804943633
6,18,54,67928246464
6,18,57,77591552387
6,18,60,88451118964
6,18,63,100017022557
6,19,33,22944115940
6,19,36,24463328822
6,19,39,28208951292
6,19,42,34451035151
6,19,45,41217483243
6,19,48,49042617919
6,19,51,57767811883
6,19,54,66540755080
6,19,57,75206603788
6,19,60,84917888860
6,19,63,96671346265
6,20,33,24589692028
6,20,36,25975751178
6,20,39,28235042319
6,20,42,33247688622
6,20,45,39875586833
6,20,48,46745900021
6,20,51,54779983754
6,20,54,63303515414
6,20,57,71550922297
6,20,60,79990057466
6,20,63,90976391275
6,21,33,27206644923
6,21,36,27817965750
6,21,39,29594606481
6,21,42,31785288900
6,21,45,38322848109
6,21,48,44672328302
6,21,51,51251216028
6,21,54,59246033244
6,21,57,67159881576
6,21,60,75096644347
6,21,63,83678135957
6,22,33,29128941327
6,22,36,30279787045
6,22,39,31954759821
6,22,42,33193340508
6,22,45,36156178937
6,22,48,42025206910
6,22,51,48123303038
6,22,54,55261408384
6,22,57,63116654710
6,22,60,71186797849
6,22,63,79481419252
6,23,33,29457608613
6,23,36,31049525920
6,23,39,32914559458
6,23,42,34748148351
6,23,45,36345449795
6,23,48,42055101980
6,23,51,48616566182
6,23,54,55114687348
6,23,57,63097531467
6,23,60,72093755849
6,23,63,81335702119
6,24,33,44803178607
6,24,36,47095837466
6,24,39,49589217599
6,24,42,54512556868
6,24,45,59490594721
6,24,48,67448875171
6,24,51,75865409214
6,24,54,88085669698
6,24,57,95336560678
6,24,60,107990546076
6,24,63,118085017032
7,16,33,23154555479
7,16,36,28326979707
7,16,39,34771160495
7,16,42,42265664509
7,16,45,51793185574
7,16,48,61519290059
7,16,51,70898044300
7,16,54,80527337383
7,16,57,90579051638
7,16,60,102115989609
7,16,63,113585387781
7,17,33,19139567746
7,17,36,23836303066
7,17,39,30067092959
7,17,42,36698822383
7,17,45,44719014828
7,17,48,53989559637
7,17,51,63092765780
7,17,54,72240700093
7,17,57,81199343927
7,17,60,91705823208
7,17,63,102971929672
7,18,33,18646010084
7,18,36,20744008509
7,18,39,26881732381
7,18,42,33270526160
7,18,45,40193429625
7,18,48,48220208381
7,18,51,57181252588
7,18,54,66017664327
7,18,57,74423548556
7,18,60,83318152471
7,18,63,94146609845
7,19,33,22906508432
7,19,36,24469972962
7,19,39,28265657526
7,19,42,34547313177
7,19,45,41073341451
7,19,48,48025385076
7,19,51,56226047324
7,19,54,64864688591
7,19,57,73253458837
7,19,60,81317274638
7,19,63,90961045399
7,20,33,24513565517
7,20,36,26024996055
7,20,39,28227554635
7,20,42,33326812020
7,20,45,39849990631
7,20,48,46396964866
7,20,51,53502021384
7,20,54,61697080127
7,20,57,69839325730
7,20,60,77701633915
7,20,63,87033942657
7,21,33,26387414488
7,21,36,27856448577
7,21,39,29580151500
7,21,42,31769428779
7,21,45,38376475739
7,21,48,44424412282
7,21,51,50590921584
7,21,54,57699088273
7,21,57,65673583979
7,21,60,73487144283
7,21,63,81857951981
7,22,33,29121787416
7,22,36,30447641217
7,22,39,32016864927
7,22,42,33257745137
7,22,45,36243955745
7,22,48,42153292050
7,22,51,47977486454
7,22,54,54201004896
7,22,57,61461295117
7,22,60,69459354295
7,22,63,77783652590
7,23,33,29485312416
7,23,36,30977292784
7,23,39,33027486597
7,23,42,34607175537
7,23,45,36498932722
7,23,48,41647387910
7,23,51,48182954832
7,23,54,54697056380
7,23,57,61840226821
7,23,60,70875108563
7,23,63,79163659011
7,24,33,43460656066
7,24,36,46007942073
7,24,39,48673712212
7,24,42,53506208786
7,24,45,59772164604
7,24,48,68669917525
7,24,51,77584227088
7,24,54,87983958927
7,24,57,98176996673
7,24,60,109885922296
7,24,63,119050101417
8,16,33,23224083805
8,16,36,28087268848
8,16,39,34071762198
8,16,42,40666036304
8,16,45,48678112283
8,16,48,58265401910
8,16,51,67637606921
8,16,54,76890856094
8,16,57,85874610666
8,16,60,95319158955
8,16,63,106379682992
8,17,33,19462695221
8,17,36,23923022825
8,17,39,29746978231
8,17,42,35930416082
8,17,45,42762054240
8,17,48,50939478479
8,17,51,60132191042
8,17,54,69123665727
8,17,57,77625524938
8,17,60,86347951092
8,17,63,95833087370
8,18,33,18718527125
8,18,36,20827109300
8,18,39,26689914690
8,18,42,32701853918
8,18,45,39040499077
8,18,48,45835421672
8,18,51,54153107318
8,18,54,62965713169
8,18,57,71238319065
8,18,60,79759786076
8,18,63,88664260170
8,19,33,22985489286
8,19,36,24521079811
8,19,39,28251837685
8,19,42,34233849010
8,19,45,40316535435
8,19,48,46521874958
8,19,51,53622217114
8,19,54,61972133821
8,19,57,70216257390
8,19,60,78732153863
8,19,63,87344260957
8,20,33,24543457938
8,20,36,26001292621
8,20,39,28261224421
8,20,42,33224735703
8,20,45,39549482861
8,20,48,45534573847
8,20,51,51808684122
8,20,54,59084664259
8,20,57,66865911861
8,20,60,74836438626
8,20,63,83568867944
8,21,33,26003402182
8,21,36,28027879595
8,21,39,29556271853
8,21,42,31823606482
8,21,45,38169320136
8,21,48,43942490943
8,21,51,49562424873
8,21,54,55738830338
8,21,57,62702011340
8,21,60,70403168311
8,21,63,79167991476
8,22,33,28880224645
8,22,36,30434404336
8,22,39,32056457181
8,22,42,33193381502
8,22,45,36169027361
8,22,48,41803569367
8,22,51,49743827205
8,22,54,52910234400
8,22,57,59125007657
8,22,60,66464000348
8,22,63,75534256418
8,23,33,29588035041
8,23,36,31067764693
8,23,39,33029938167
8,23,42,34660545175
8,23,45,36504780604
8,23,48,41561703132
8,23,51,47838268400
8,23,54,54008861811
8,23,57,60269077936
8,23,60,67498757002
8,23,63,76321731838
8,24,33,44386521781
8,24,36,46433538161
8,24,39,49161434846
8,24,42,57263493845
8,24,45,61331003266
8,24,48,66663755081
8,24,51,73798407889
8,24,54,83046589727
8,24,57,95026453086
8,24,60,106638447883
8,24,63,115407415149
